Value Bets,Value Players,ratio_bets_players
136295.0,9659,1411.0673982813958
76218.90000000001,4861,1567.967496399918
128531.5,8604,1493.8575081357508
189189.0,10483,1804.7219307450157
83733.68,5071,1651.2261881285742
88927.0,6182,1438.4826916855386
168839.44,9318,1811.9708091865207
116213.12,5884,1975.0700203942895
201802.8,14119,1429.299525462143
157735.73,8870,1778.305862457723
148241.21,7737,1916.0037482228252
171059.07,11704,1461.5436602870814
138609.54,6905,2007.3792903692975
119599.71,6156,1942.8153021442497
149798.1,10575,1416.5304964539007
179875.80000000002,13008,1382.809040590406
103201.05,5144,2006.2412519440127
106053.19,7095,1494.7595489781536
76486.3,4513,1694.7994682029691
142026.11,7118,1995.30921607193
180866.4,10457,1729.6203500047814
224607.48,13523,1660.9293795755382
96942.86,5495,1764.2012738853502
129599.40000000001,8353,1551.5311864000957
88775.3,6917,1283.4364608934509
185433.42,10954,1692.8375022822713
91802.45,4888,1878.1188625204582
133062.28,8228,1617.1886242100147
88288.9,5063,1743.806043847521
115817.0,7735,1497.310924369748
83287.04,4475,1861.162905027933
161751.63,7163,2258.1548233980175
123612.57,7016,1761.8667331813
92505.8,6180,1496.8576051779935
78228.74,3759,2081.105081138601
137682.80000000002,7382,1865.115144947169
116739.03,7971,1464.5468573579224
126035.9,9026,1396.3649457123865
101001.4,6357,1588.821771275759
169323.6,10069,1681.632734134472
183588.73,10761,1706.056407397082
133208.51,6027,2210.195951551352
160422.37,9843,1629.8117443868741
124280.31,5688,2184.956223628692
102817.09999999999,7115,1445.0751932536893
141099.73,6226,2266.2982653389017
88536.8,6222,1422.9636772741883
123181.04,5074,2427.6909735908553
112060.74,6220,1801.61961414791
207995.0,9541,2180.0125772979773
102177.08,5518,1851.7049655672345
120520.61,6488,1857.5926325524044
156682.90000000002,10025,1562.9216957605986
73752.70000000001,4490,1642.5991091314036
86078.70000000001,7036,1223.403922683343
156253.56,10529,1484.0303922499763
105748.70000000001,4909,2154.180077408841
112404.40000000001,7922,1418.8891694016663
204447.13,9396,2175.895381013197
115215.9,8488,1357.3975023562675
129740.75,6255,2074.192645883293
87557.0,4555,1922.2173435784853
173101.0,12917,1340.1021909112023
114032.6,8220,1387.2579075425792
219665.67,11397,1927.399052382206
239799.57,13013,1842.7693076154615
67791.09999999999,3047,2224.8473908762717
186364.42,9971,1869.064487012336
107146.85,6141,1744.7785376974434
154241.71,10433,1478.402281223042
133254.1,8486,1570.2816403488098
80657.5,5925,1361.308016877637
94330.40000000001,7210,1308.3273231622748
88813.27,5077,1749.3257829426827
151667.3,8107,1870.8190452695198
87882.90000000001,4865,1806.431654676259
165270.39,10310,1603.010572259942
